,osmid,x,y
643,643,-79.3263212,43.8335842
644,644,-79.3240021,43.8341737
645,645,-79.3218818,43.83547
646,646,-79.3194583,43.8356946
647,647,-79.3280819,43.8331805
648,648,-79.3154043,43.8362265
649,649,-79.2871979,43.829507
650,650,-79.2871826,43.8290111
651,651,-79.2620905,43.8448763
652,652,-79.1855406,43.8900557
653,653,-79.1862133,43.8902329
654,654,-79.1881793,43.889691
655,655,-79.1946366,43.8884374
656,656,-79.1851392,43.8855548
657,657,-79.177584,43.8537859
658,658,-79.20213,43.8511553
659,659,-79.1993009,43.848497
660,660,-79.2057883,43.8650076
661,661,-79.2060075,43.8659795
662,662,-79.1817215,43.8719902
663,663,-79.2311691,43.863945
664,664,-79.2582965,43.867257
665,665,-79.2472469,43.8624333
666,666,-79.2452397,43.8379905
667,667,-79.2667655,43.8795757
668,668,-79.2626292,43.8858612
669,669,-79.2683967,43.8872137
670,670,-79.247738,43.8746121
671,671,-79.266538,43.8715765
672,672,-79.2741394,43.8663691
673,673,-79.2717705,43.8679735
674,674,-79.2724419,43.8686744
675,675,-79.2762579,43.8686949
676,676,-79.2841435,43.8657134
677,677,-79.276986,43.8676154
678,678,-79.2720814,43.8656794
679,679,-79.2720385,43.8655619
680,680,-79.2635975,43.8722976
681,681,-79.2589478,43.8699776
682,682,-79.2345864,43.8778281
683,683,-79.2586113,43.8684031
684,684,-79.2937869,43.873282
685,685,-79.3104887,43.880274
686,686,-79.3962688,43.829852
687,687,-79.397625,43.8262971
688,688,-79.3993356,43.8287425
689,689,-79.4014612,43.8282666
690,690,-79.3987886,43.8260421
691,691,-79.3898935,43.8270843
692,692,-79.3934567,43.8252767
693,693,-79.3904183,43.8250538
694,694,-79.3931306,43.8245027
695,695,-79.3906586,43.8241931
696,696,-79.3909843,43.8249433
697,697,-79.3894941,43.8249748
698,698,-79.317392,43.8595202
699,699,-79.3121944,43.860814
700,700,-79.310522,43.8650188
701,701,-79.3108692,43.8657424
702,702,-79.3122868,43.8717947
703,703,-79.4004123,43.8284899
704,704,-79.3983304,43.8306708
705,705,-79.3976204,43.8311281
706,706,-79.4029491,43.8340244
707,707,-79.4032425,43.8335344
708,708,-79.4034083,43.8335856
709,709,-79.4031744,43.8287645
710,710,-79.4032946,43.8290741
711,711,-79.4035521,43.8299162
712,712,-79.4038834,43.829871
713,713,-79.40373,43.8291169
714,714,-79.4033381,43.8292164
715,715,-79.4039231,43.8317728
716,716,-79.4043801,43.8316947
717,717,-79.4038795,43.8322198
718,718,-79.4045011,43.8321467
719,719,-79.3963357,43.8253187
720,720,-79.3971407,43.8257463
721,721,-79.3953478,43.8274584
722,722,-79.39149,43.8285159
723,723,-79.3845866,43.8255058
724,724,-79.3859235,43.8269673
725,725,-79.3866542,43.8276463
726,726,-79.3895769,43.8265313
727,727,-79.3864213,43.8264781
728,728,-79.3882659,43.8260153
729,729,-79.3883353,43.8247319
730,730,-79.386774,43.8249584
731,731,-79.38698,43.8254339
732,732,-79.3893042,43.8258692
733,733,-79.402051,43.8350102
734,734,-79.4020065,43.8341224
735,735,-79.3782052,43.8295658
736,736,-79.3798235,43.8258497
737,737,-79.3781923,43.8281185
738,738,-79.3872734,43.8242523
739,739,-79.3882823,43.8240367
740,740,-79.3838924,43.8255556
741,741,-79.3902066,43.8230266
742,742,-79.4023509,43.8259842
743,743,-79.402205,43.8258913
744,744,-79.4023424,43.8257922
745,745,-79.3997053,43.8222715
746,746,-79.3994343,43.8216642
747,747,-79.3995403,43.8225216
748,748,-79.3992973,43.8226025
749,749,-79.399235,43.8228239
750,750,-79.3994736,43.823139
751,751,-79.3998631,43.8234119
752,752,-79.4016984,43.8231355
753,753,-79.4001945,43.8228536
754,754,-79.3846827,43.8327029
755,755,-79.3894291,43.8327896
756,756,-79.3847842,43.8328423
757,757,-79.4003858,43.8155637
758,758,-79.4006069,43.8165043
759,759,-79.4017208,43.8211867
760,760,-79.4027335,43.8212535
761,761,-79.4013973,43.8198264
762,762,-79.3793258,43.8318269
763,763,-79.3768748,43.8306375
764,764,-79.372302,43.8290011
765,765,-79.3921706,43.8293182
766,766,-79.3846639,43.824803
767,767,-79.3832429,43.8244091
768,768,-79.3927889,43.8299023
769,769,-79.4124822,43.8328899
770,770,-79.4278188,43.8305383
771,771,-79.3706296,43.8995129
772,772,-79.36992,43.89668
773,773,-79.36649,43.88926
774,774,-79.3310724,43.868589
775,775,-79.3295077,43.8707626
776,776,-79.3281758,43.8703156
777,777,-79.3310281,43.8683678
778,778,-79.3307447,43.8680355
779,779,-79.3301783,43.8679267
780,780,-79.3317405,43.8682598
781,781,-79.3313972,43.8678799
782,782,-79.3324635,43.8681234
783,783,-79.3305465,43.8666261
784,784,-79.3306979,43.8671237
785,785,-79.3366043,43.8505488
786,786,-79.3922187,43.8201515
787,787,-79.3923248,43.8204306
788,788,-79.3941928,43.8200876
789,789,-79.1897274,43.8507619
790,790,-79.2092534,43.8461879
791,791,-79.2190752,43.8440022
792,792,-79.2005222,43.848197
793,793,-79.1802634,43.8539293
794,794,-79.181671,43.8549196
795,795,-79.199805,43.8561182
796,796,-79.2035672,43.8559881
797,797,-79.1815133,43.8537823
798,798,-79.2710946,43.8692876
799,799,-79.3373623,43.8166658
800,800,-79.3402878,43.8168029
801,801,-79.4278896,43.8308561
802,802,-79.4266604,43.8311263
803,803,-79.4256761,43.8313406
804,804,-79.4235566,43.8313722
805,805,-79.4187534,43.8324245
806,806,-79.4265752,43.8316912
807,807,-79.4253159,43.8306575
808,808,-79.4237404,43.830976
809,809,-79.4243651,43.832199
810,810,-79.4235574,43.8303465
811,811,-79.2537566,43.8536426
812,812,-79.2557165,43.8533977
813,813,-79.2604306,43.8783684
814,814,-79.2652725,43.8718618
815,815,-79.3132925,43.8535304
816,816,-79.3161567,43.8526051
817,817,-79.3248264,43.8492319
818,818,-79.3604212,43.8477083
819,819,-79.3635523,43.846491
820,820,-79.3643861,43.8483787
821,821,-79.3947531,43.8390061
822,822,-79.394877,43.8405947
823,823,-79.3949422,43.8409284
824,824,-79.3950246,43.8412562
825,825,-79.3980098,43.8400854
826,826,-79.3981987,43.8406114
827,827,-79.406334,43.839597
828,828,-79.3701263,43.8669436
